item_id,bio_look,critical,name,file_name,file_name_real,bio_spr_no_name,bio,bio_spr,pretask,determiner,nationality,occupation,pro,verb_match,adj,np,spillover,spill1,spill2,period,post_verb,critical_full,name_original,gender,lifetime,lifetime_distractor,type,tense,mm,list,match,bare,Unique_ID,prac_correct,prac_incorrect
194,"Look at the picture of Franca Ellis, an American actor.","She*was*an original*cast member*on*'Charlie's Angels',*as reported by*the media.",Franca Ellis,Robin_Williams.jpg,Franca_Ellis.jpg,*was*an American*actor.*She died*in Santa Monica.,Franca Ellis was an American actor. She died in Santa Monica.,Franca Ellis*was*an American*actor.*She died*in Santa Monica.,yes,an,American,actor,filler,filler,filler,filler,filler,as reported by,the media,filler,filler,filler,Farrah Fawcett,female,dead,alive,filler,past,filler,999,yes,be,9194193,filler,filler
196,"Look at the picture of Stacy Reiner, an Italian actor.","He*is*known*for his work*in Hollywood classics,*as is*well-known.",Stacy Reiner,Robin_Williams.jpg,Stacy_Reiner.jpg,*is*an Italian*actor.*She lives*in Geneva.,Stacy Reiner is an Italian actor. She lives in Geneva.,Stacy Reiner*is*an Italian*actor.*She lives*in Geneva.,no,an,Italian,actor,filler,filler,filler,filler,filler,as is,well-known,filler,filler,filler,Sophia Loren,female,alive,dead,filler,prespass,gender,999,no,be,9196093,filler,filler
198,"Look at the picture of Scarborough F.C., an English football club.","They*were*dissolved*in 2007,*so it's*said.",Scarborough F.C.,Robin_Williams.jpg,Scarborough_FC.jpg,*were*an English*football club.*They*were*based in North Yorkshire.,Scarborough F.C. were an English football club. They were based in North Yorkshire.,Scarborough F.C.*were*an English*football club.*They*were*based in North Yorkshire.,no,an,English,football club,filler,filler,filler,filler,filler,so it's,said,filler,filler,filler,Scarborough F.C.,plural,dead,alive,filler,pastpass,filler,999,yes,be,9198193,filler,filler
199,"Look at the picture of Bangtan Boys, a South Korean pop band.","He*has achieved*worldwide*success,*if one believes*Twitter.",Bangtan Boys,Robin_Williams.jpg,Bangtan_Boys.jpg,*are*a South Korean*pop band.*The band has seven members.,Bangtan Boys are a South Korean pop band. The band has seven members.,Bangtan Boys*are*a South Korean*pop band.*The band has seven members.,no,a,South Korean,pop band,filler,filler,filler,filler,filler,if one believes,Twitter,filler,filler,filler,Bangtan Boys,plural,alive,dead,filler,PP,number,999,no,achieve,9199093,filler,filler
201,"Look at the picture of Spice Girls, an English pop group.","They*had*several*successful*world tours,*so it's*said.",Spice Girls,Robin_Williams.jpg,Spice_Girls.jpg,*were*an English*pop group formed in the 1990's.,Spice Girls were an English pop group formed in the 1990's.,Spice Girls*were*an English*pop group formed in the 1990's.,no,an,English,pop group,filler,filler,filler,filler,filler,so it's,said,filler,filler,filler,Spice Girls,plural,dead,alive,filler,past,filler,999,yes,have,9201193,filler,filler
204,"Look at the picture of Real Madrid, a Spanish football club.","The team*was*founded*in 1902,*if one believes*Twitter.",Real Madrid,Robin_Williams.jpg,Real_Madrid.jpg,*is*a Spanish*football club.*They*are*based in Madrid.,Real Madrid is a Spanish football club. They are based in Madrid.,Real Madrid*is*a Spanish*football club.*They*are*based in Madrid.,no,a,Spanish,football club,filler,filler,filler,filler,filler,if one believes,Twitter,filler,filler,filler,Real Madrid,plural,alive,dead,filler,past,filler,999,yes,be,9204093,filler,filler
209,"Look at the picture of Ian McEwan, a British novelist.","Many of his*novels*have been adapted*into films,*according to*news reports.",Ian McEwan,Robin_Williams.jpg,Ian_McEwan.jpg,Ian McEwan*is*a British*novelist.*He has been married twice.,Ian McEwan is a British novelist. He has been married twice.,Ian McEwan*is*a British*novelist.*He*has been*married*twice.,no,a,British,novelist,practice,practice,practice,practice,practice,according to,news reports,practice,practice,practice,Ian McEwan,male,alive,dead,practice,PP,no,111,yes,adapt,209p,Right!<p>The sentence was fine.,Hmm..<p>The last sentence fit well with the first sentences. You should have responded 'yes'.
210,"Look at the picture of Pierre Gatineau, a Canadian rapper.","He*is well-known*in French speaking*countries,*as seen on*Twitter.",Pierre Gatineau,Robin_Williams.jpg,Pierre_Gatineau.jpg,Pierre Gatineau*is*a Canadian*rapper.*He lives*in Montréal.,Pierre Gatineau is a Canadian rapper. He lives in Montréal.,Pierre Gatineau*is*a Canadian*rapper.*He*lives*in Montréal.,no,a,Canadian,rapper,practice,practice,practice,practice,practice,as seen on,Twitter,practice,practice,practice,Pierre Gatineau,female,dead,alive,practice,Pres,no,111,yes,be,210p,Right!<p>The sentence was fine.,Hmm..<p>The last sentence fit well with the first sentences. You should have responded 'yes'.
211,"Look at the picture of Chloe Masterson, an American singer.","She*is currently*recording*a new album,*so it's*said.",Chloe Masterson,Robin_Williams.jpg,Chloe_Masterson.jpg,"Before*her death*in 2009, Chloe Masterson*was*an American*singer.","Before her death in 2009, Chloe Masterson was an American singer.","Before*her death*in 2009,*Chloe Masterson*was*an American*singer.",no,an,American,singer,practice,practice,practice,practice,practice,so it's,said,practice,practice,practice,Chloe Masterson,male,alive,dead,practice,Pres,yes,111,no,be,211p,"Right!<p>The sentence does not fit, because she died and therefore cannot be currently doing something.",Hmm...You should have said 'no'. <p>She can't be currently working on an album if she died!
212,"Look at the picture of Toni Morrison, an American novelist.","She*was awarded*the Nobel Prize*in Literature,*as stated in*her memoir.",Toni Morrison,Robin_Williams.jpg,Toni_Morrison.jpg,Toni Morrison*was*an American*novelist from Ohio.,Toni Morrison was an American novelist from Ohio.,Toni Morrison*was*an American*novelist*from Ohio.,no,an,American,novelist,practice,practice,practice,practice,practice,as stated in,her memoir,practice,practice,practice,Toni Morrison,female,dead,alive,practice,Passive,no,111,yes,award,212p,Right!<p>The sentence was fine.,Hmm..<p>The last sentence fit well with the first sentences. You should have responded 'yes'.
213,"Look at the picture of William Shakespeare, an English playwright.","He*lives*in Stratford-upon-Avon,*if one believes*Wikipedia.",William Shakespeare,Robin_Williams.jpg,William_Shakespeare.jpg,William Shakespeare*was*an English*playwright.*He died*in 1616.,William Shakespeare was an English playwright. He died in 1616.,William Shakespeare*was*an English*playwright.*He*died*in 1616.,no,an,English,playwright,practice,practice,practice,practice,practice,if one believes,Wikipedia,practice,practice,practice,William Shakespeare,female,dead,alive,practice,Pres,yes,111,no,live,213p,Right!<p>Shakespeare doesn't live anywhere anymore!,Hmm...you should've said 'no'.<p>Shakespeare doesn't live anywhere anymore!
